country_code,country,year,indicator_code,indicator,theme,unit,value,source
JOR,Jordan,2021,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-7.3321,World Bank WDI
JOR,Jordan,2022,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-7.3919,World Bank WDI
JOR,Jordan,2023,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.2559,World Bank WDI
JOR,Jordan,2024,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-5.3337,World Bank WDI
MAR,Morocco,1990,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.648,World Bank WDI
MAR,Morocco,1991,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.28,World Bank WDI
MAR,Morocco,1992,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.2834,World Bank WDI
MAR,Morocco,1993,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.647,World Bank WDI
MAR,Morocco,1994,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.0305,World Bank WDI
MAR,Morocco,1995,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.0385,World Bank WDI
MAR,Morocco,1996,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.0811,World Bank WDI
MAR,Morocco,1997,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.2228,World Bank WDI
MAR,Morocco,1998,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.3092,World Bank WDI
MAR,Morocco,1999,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.3607,World Bank WDI
MAR,Morocco,2000,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.1039,World Bank WDI
MAR,Morocco,2001,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,3.6756,World Bank WDI
MAR,Morocco,2002,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,3.1372,World Bank WDI
MAR,Morocco,2003,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,2.7258,World Bank WDI
MAR,Morocco,2004,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,1.4665,World Bank WDI
MAR,Morocco,2005,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,1.5113,World Bank WDI
MAR,Morocco,2006,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,1.8597,World Bank WDI
MAR,Morocco,2007,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.1404,World Bank WDI
MAR,Morocco,2008,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.4474,World Bank WDI
MAR,Morocco,2009,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.9146,World Bank WDI
MAR,Morocco,2010,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.8915,World Bank WDI
MAR,Morocco,2011,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-7.267,World Bank WDI
MAR,Morocco,2012,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-8.9503,World Bank WDI
MAR,Morocco,2013,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-6.7773,World Bank WDI
MAR,Morocco,2014,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-5.5378,World Bank WDI
MAR,Morocco,2015,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.9569,World Bank WDI
MAR,Morocco,2016,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.7461,World Bank WDI
MAR,Morocco,2017,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.1021,World Bank WDI
MAR,Morocco,2018,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.8729,World Bank WDI
MAR,Morocco,2019,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.4182,World Bank WDI
MAR,Morocco,2020,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.1276,World Bank WDI
MAR,Morocco,2021,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.3579,World Bank WDI
MAR,Morocco,2022,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.6575,World Bank WDI
MAR,Morocco,2023,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.0477,World Bank WDI
MAR,Morocco,2024,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.2307,World Bank WDI
MAR,Morocco,2025,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.4981,World Bank WDI
TUN,Tunisia,1990,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.7702,World Bank WDI
TUN,Tunisia,1991,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.59,World Bank WDI
TUN,Tunisia,1992,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-7.1211,World Bank WDI
TUN,Tunisia,1993,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-9.0568,World Bank WDI
TUN,Tunisia,1994,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.4337,World Bank WDI
TUN,Tunisia,1995,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.2926,World Bank WDI
TUN,Tunisia,1996,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.4389,World Bank WDI
TUN,Tunisia,1997,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.8679,World Bank WDI
TUN,Tunisia,1998,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.0974,World Bank WDI
TUN,Tunisia,1999,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.9254,World Bank WDI
TUN,Tunisia,2000,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.8256,World Bank WDI
TUN,Tunisia,2001,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.8089,World Bank WDI
TUN,Tunisia,2002,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.2239,World Bank WDI
TUN,Tunisia,2003,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.6608,World Bank WDI
TUN,Tunisia,2004,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.4166,World Bank WDI
TUN,Tunisia,2005,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.9274,World Bank WDI
TUN,Tunisia,2006,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.8017,World Bank WDI
TUN,Tunisia,2007,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.3562,World Bank WDI
TUN,Tunisia,2008,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.8147,World Bank WDI
TUN,Tunisia,2009,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.8391,World Bank WDI
TUN,Tunisia,2010,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.5545,World Bank WDI
TUN,Tunisia,2011,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-7.0356,World Bank WDI
TUN,Tunisia,2012,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-7.8657,World Bank WDI
TUN,Tunisia,2013,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-7.9668,World Bank WDI
TUN,Tunisia,2014,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-8.8779,World Bank WDI
TUN,Tunisia,2015,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-8.5709,World Bank WDI
TUN,Tunisia,2016,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-8.5289,World Bank WDI
TUN,Tunisia,2017,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-10.0144,World Bank WDI
TUN,Tunisia,2018,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-10.7946,World Bank WDI
TUN,Tunisia,2019,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-8.0491,World Bank WDI
TUN,Tunisia,2020,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-6.0123,World Bank WDI
TUN,Tunisia,2021,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-5.8846,World Bank WDI
TUN,Tunisia,2022,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-8.8343,World Bank WDI
TUN,Tunisia,2023,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.3037,World Bank WDI
TUN,Tunisia,2024,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.508,World Bank WDI
TUR,Turkiye,1990,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.7424,World Bank WDI
TUR,Turkiye,1991,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.1655,World Bank WDI
TUR,Turkiye,1992,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.6122,World Bank WDI
TUR,Turkiye,1993,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.5657,World Bank WDI
TUR,Turkiye,1994,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,2.0138,World Bank WDI
TUR,Turkiye,1995,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.9962,World Bank WDI
TUR,Turkiye,1996,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.9734,World Bank WDI
TUR,Turkiye,1997,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.9999,World Bank WDI
TUR,Turkiye,1998,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.7245,World Bank WDI
TUR,Turkiye,1999,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.3604,World Bank WDI
TUR,Turkiye,2000,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.6106,World Bank WDI
TUR,Turkiye,2001,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,1.8596,World Bank WDI
TUR,Turkiye,2002,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.26,World Bank WDI
TUR,Turkiye,2003,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.3951,World Bank WDI
TUR,Turkiye,2004,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.4616,World Bank WDI
TUR,Turkiye,2005,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.1274,World Bank WDI
TUR,Turkiye,2006,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-5.5679,World Bank WDI
TUR,Turkiye,2007,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-5.3918,World Bank WDI
TUR,Turkiye,2008,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-5.0845,World Bank WDI
TUR,Turkiye,2009,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.737,World Bank WDI
TUR,Turkiye,2010,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-5.7025,World Bank WDI
TUR,Turkiye,2011,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-8.8135,World Bank WDI
TUR,Turkiye,2012,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.721,World Bank WDI
TUR,Turkiye,2013,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-5.1269,World Bank WDI
TUR,Turkiye,2014,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.4075,World Bank WDI
TUR,Turkiye,2015,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.4674,World Bank WDI
TUR,Turkiye,2016,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.5453,World Bank WDI
TUR,Turkiye,2017,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.0678,World Bank WDI
TUR,Turkiye,2018,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.8523,World Bank WDI
TUR,Turkiye,2019,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,1.9352,World Bank WDI
TUR,Turkiye,2020,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.2228,World Bank WDI
